,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,marck,model
101,0,gas,std,four,sedan,fwd,front,2.55016,4.61518,1.6891,1.39954,1403.87,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,17,22,13499.0,nissan,dayz
102,0,gas,std,four,wagon,fwd,front,2.55016,4.68884,1.6891,1.42494,1495.04,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,17,22,14399.0,nissan,fuga
103,0,gas,std,four,sedan,fwd,front,2.55016,4.68884,1.6891,1.39954,1387.99,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,19,25,13499.0,nissan,otti
104,3,gas,std,two,hatchback,rwd,front,2.31902,4.33578,1.72466,1.26238,1392.98,ohcv,6,181,mpfi,3.43,3.27,9.0,160,5200,19,25,17199.0,nissan,teana
105,3,gas,turbo,two,hatchback,rwd,front,2.31902,4.33578,1.72466,1.26238,1423.83,ohcv,6,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699.0,nissan,kicks
106,1,gas,std,two,hatchback,rwd,front,2.51968,4.5339,1.72466,1.26238,1423.83,ohcv,6,181,mpfi,3.43,3.27,9.0,160,5200,19,25,18399.0,nissan,clipper
107,0,gas,std,four,sedan,rwd,front,2.74066,4.742179999999999,1.7373600000000002,1.44018,1369.85,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900.0,peugeot,504
108,0,diesel,turbo,four,sedan,rwd,front,2.74066,4.742179999999999,1.7373600000000002,1.44018,1450.13,l,4,152,idi,3.7,3.52,21.0,95,4150,28,33,13200.0,peugeot,304
109,0,gas,std,four,wagon,rwd,front,2.90068,5.05206,1.7373600000000002,1.4909800000000002,1465.1,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440.0,peugeot,504 (sw)
110,0,diesel,turbo,four,wagon,rwd,front,2.90068,5.05206,1.7373600000000002,1.4909800000000002,1555.82,l,4,152,idi,3.7,3.52,21.0,95,4150,25,25,13860.0,peugeot,504
111,0,gas,std,four,sedan,rwd,front,2.74066,4.742179999999999,1.7373600000000002,1.44018,1394.8,l,4,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580.0,peugeot,504
112,0,diesel,turbo,four,sedan,rwd,front,2.74066,4.742179999999999,1.7373600000000002,1.44018,1475.08,l,4,152,idi,3.7,3.52,21.0,95,4150,28,33,16900.0,peugeot,604sl
113,0,gas,std,four,wagon,rwd,front,2.90068,5.05206,1.7373600000000002,1.44018,1490.05,l,4,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695.0,peugeot,504
114,0,diesel,turbo,four,wagon,rwd,front,2.90068,5.05206,1.7373600000000002,1.4909800000000002,1580.77,l,4,152,idi,3.7,3.52,21.0,95,4150,25,25,17075.0,peugeot,505s turbo diesel
115,0,gas,std,four,sedan,rwd,front,2.74066,4.742179999999999,1.7373600000000002,1.44018,1394.8,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630.0,peugeot,504
116,0,diesel,turbo,four,sedan,rwd,front,2.74066,4.742179999999999,1.7373600000000002,1.44018,1475.08,l,4,152,idi,3.7,3.52,21.0,95,4150,28,33,17950.0,peugeot,504
117,0,gas,turbo,four,sedan,rwd,front,2.7432,4.742179999999999,1.73482,1.4224,1419.74,l,4,134,mpfi,3.61,3.21,7.0,142,5600,18,24,18150.0,peugeot,604sl
118,1,gas,std,two,hatchback,fwd,front,2.37998,3.99542,1.62052,1.29032,869.99,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572.0,plymouth,fury iii
119,1,gas,turbo,two,hatchback,fwd,front,2.37998,3.99542,1.62052,1.29032,965.24,ohc,4,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957.0,plymouth,cricket
120,1,gas,std,four,hatchback,fwd,front,2.37998,3.99542,1.62052,1.28524,892.22,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,plymouth,fury iii
121,1,gas,std,four,sedan,fwd,front,2.37998,4.24942,1.62052,1.29032,902.2,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0,plymouth,satellite custom (sw)
122,1,gas,std,four,sedan,fwd,front,2.37998,4.24942,1.62052,1.29032,993.82,ohc,4,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0,plymouth,fury gran sedan
123,-1,gas,std,four,wagon,fwd,front,2.6238200000000003,4.4348399999999994,1.6408399999999999,1.51892,1149.86,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921.0,plymouth,valiant
124,3,gas,turbo,two,hatchback,rwd,front,2.43586,4.39928,1.6840199999999999,1.27508,1278.22,ohc,4,156,spdi,3.59,3.86,7.0,145,5000,19,24,12764.0,plymouth,duster
125,3,gas,std,two,hatchback,rwd,front,2.4003,4.29006,1.73482,1.27508,1260.08,ohc,4,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018.0,porsche,macan
126,3,gas,std,two,hardtop,rwd,rear,2.2733000000000003,4.29006,1.651,1.31064,1250.1,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,17,25,32528.0,porsche,panamera
127,3,gas,std,two,hardtop,rwd,rear,2.2733000000000003,4.29006,1.651,1.31064,1250.1,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,17,25,34028.0,porsche,cayenne
128,3,gas,std,two,convertible,rwd,rear,2.2733000000000003,4.29006,1.651,1.31064,1270.06,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,17,25,37028.0,porsche,boxter
129,1,gas,std,two,hatchback,rwd,front,2.4993600000000002,4.4627799999999995,1.83642,1.2827000000000002,1526.79,dohcv,8,203,mpfi,3.94,3.11,10.0,288,5750,17,28,31400.5,porsche,cayenne
130,0,gas,std,four,wagon,fwd,front,2.44094,4.6101,1.6891,1.40208,1169.81,ohc,4,132,mpfi,3.46,3.9,8.7,90,5100,23,31,9295.0,renault,12tl
131,2,gas,std,two,hatchback,fwd,front,2.44094,4.4907200000000005,1.6916399999999998,1.2827000000000002,1115.84,ohc,4,132,mpfi,3.46,3.9,8.7,90,5100,23,31,9895.0,renault,5 gtl
132,3,gas,std,two,hatchback,fwd,front,2.51714,4.73964,1.6891,1.42494,1205.65,ohc,4,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11850.0,saab,99e
133,2,gas,std,four,sedan,fwd,front,2.51714,4.73964,1.6891,1.42494,1222.43,ohc,4,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170.0,saab,99le
134,3,gas,std,two,hatchback,fwd,front,2.51714,4.73964,1.6891,1.42494,1227.87,ohc,4,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040.0,saab,99le
135,2,gas,std,four,sedan,fwd,front,2.51714,4.73964,1.6891,1.42494,1251.01,ohc,4,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510.0,saab,99gle
136,3,gas,turbo,two,hatchback,fwd,front,2.51714,4.73964,1.6891,1.42494,1273.69,dohc,4,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18150.0,saab,99gle
137,2,gas,turbo,four,sedan,fwd,front,2.51714,4.73964,1.6891,1.42494,1291.38,dohc,4,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18620.0,saab,99e
138,2,gas,std,two,hatchback,fwd,front,2.37998,3.9852600000000002,1.61036,1.36398,929.86,ohcf,4,97,2bbl,3.62,2.36,9.0,69,4900,31,36,5118.0,subaru,subaru
139,2,gas,std,two,hatchback,fwd,front,2.37998,4.010660000000001,1.6154400000000002,1.36398,961.62,ohcf,4,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7053.0,subaru,dl
140,2,gas,std,two,hatchback,4wd,front,2.36982,3.99542,1.62052,1.4147800000000001,1016.05,ohcf,4,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7603.0,subaru,dl
141,0,gas,std,four,sedan,fwd,front,2.46888,4.3688,1.6611600000000002,1.3335,972.96,ohcf,4,108,2bbl,3.62,2.64,9.5,82,4800,32,37,7126.0,subaru,subaru
142,0,gas,std,four,sedan,fwd,front,2.46888,4.3688,1.6611600000000002,1.3335,993.37,ohcf,4,108,2bbl,3.62,2.64,9.5,82,4400,28,33,7775.0,subaru,brz
143,0,gas,std,four,sedan,fwd,front,2.46888,4.3688,1.6611600000000002,1.3335,1061.41,ohcf,4,108,mpfi,3.62,2.64,9.0,94,5200,26,32,9960.0,subaru,baja
144,0,gas,std,four,sedan,4wd,front,2.4638,4.3688,1.6611600000000002,1.37922,1081.82,ohcf,4,108,2bbl,3.62,2.64,9.0,82,4800,24,25,9233.0,subaru,r1
145,0,gas,turbo,four,sedan,4wd,front,2.4638,4.3688,1.6611600000000002,1.37922,1138.52,ohcf,4,108,mpfi,3.62,2.64,7.7,111,4800,24,29,11259.0,subaru,r2
146,0,gas,std,four,wagon,fwd,front,2.4638,4.4069,1.6611600000000002,1.3462,1038.73,ohcf,4,108,2bbl,3.62,2.64,9.0,82,4800,28,32,7463.0,subaru,trezia
147,0,gas,std,four,wagon,fwd,front,2.4638,4.4069,1.6611600000000002,1.3462,1113.57,ohcf,4,108,mpfi,3.62,2.64,9.0,94,5200,25,31,10198.0,subaru,tribeca
148,0,gas,std,four,wagon,4wd,front,2.4612600000000002,4.40944,1.6611600000000002,1.39446,1097.69,ohcf,4,108,2bbl,3.62,2.64,9.0,82,4800,23,29,8013.0,subaru,dl
149,0,gas,turbo,four,wagon,4wd,front,2.4612600000000002,4.40944,1.6611600000000002,1.39446,1202.02,ohcf,4,108,mpfi,3.62,2.64,7.7,111,4800,23,23,11694.0,subaru,dl
150,1,gas,std,two,hatchback,fwd,front,2.43078,4.03098,1.6154400000000002,1.3843,900.38,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,35,39,5348.0,toyota,corona mark ii
151,1,gas,std,two,hatchback,fwd,front,2.43078,4.03098,1.6154400000000002,1.3843,925.33,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6338.0,toyota,corona
152,1,gas,std,four,hatchback,fwd,front,2.43078,4.03098,1.6154400000000002,1.3843,913.99,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6488.0,toyota,corolla 1200
153,0,gas,std,four,wagon,fwd,front,2.43078,4.310379999999999,1.6154400000000002,1.5011400000000001,1034.19,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,31,37,6918.0,toyota,corona hardtop
154,0,gas,std,four,wagon,4wd,front,2.43078,4.310379999999999,1.6154400000000002,1.5011400000000001,1038.73,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,27,32,7898.0,toyota,corolla 1600 (sw)
155,0,gas,std,four,wagon,4wd,front,2.43078,4.310379999999999,1.6154400000000002,1.5011400000000001,1410.67,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,27,32,8778.0,toyota,carina
156,0,gas,std,four,sedan,fwd,front,2.43078,4.22402,1.6357600000000003,1.3462,943.93,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,30,37,6938.0,toyota,mark ii
157,0,gas,std,four,hatchback,fwd,front,2.43078,4.22402,1.6357600000000003,1.3411199999999999,956.63,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,30,37,7198.0,toyota,corolla 1200
158,0,diesel,std,four,sedan,fwd,front,2.43078,4.22402,1.6357600000000003,1.3462,1031.92,ohc,4,110,idi,3.27,3.35,22.5,56,4500,34,36,7898.0,toyota,corona
159,0,diesel,std,four,hatchback,fwd,front,2.43078,4.22402,1.6357600000000003,1.3411199999999999,1031.92,ohc,4,110,idi,3.27,3.35,22.5,56,4500,38,47,7788.0,toyota,corolla
160,0,gas,std,four,sedan,fwd,front,2.43078,4.22402,1.6357600000000003,1.3462,949.82,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,38,47,7738.0,toyota,corona
161,0,gas,std,four,hatchback,fwd,front,2.43078,4.22402,1.6357600000000003,1.3411199999999999,962.52,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,28,34,8358.0,toyota,corolla
162,0,gas,std,four,sedan,fwd,front,2.43078,4.22402,1.6357600000000003,1.3411199999999999,970.69,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,28,34,9258.0,toyota,mark ii
163,1,gas,std,two,sedan,rwd,front,2.4003,4.28498,1.6256,1.3360400000000001,983.84,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,29,34,8058.0,toyota,corolla liftback
164,1,gas,std,two,hatchback,rwd,front,2.4003,4.28498,1.6256,1.3360400000000001,999.72,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,29,34,8238.0,toyota,corona
165,1,gas,std,two,sedan,rwd,front,2.4003,4.28498,1.6256,1.3360400000000001,1027.39,dohc,4,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9298.0,toyota,celica gt liftback
166,1,gas,std,two,hatchback,rwd,front,2.4003,4.28498,1.6256,1.3360400000000001,1043.26,dohc,4,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9538.0,toyota,corolla tercel
167,2,gas,std,two,hardtop,rwd,front,2.4993600000000002,4.47548,1.66624,1.3208000000000002,1152.12,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,24,30,8449.0,toyota,corona liftback
168,2,gas,std,two,hardtop,rwd,front,2.4993600000000002,4.47548,1.66624,1.3208000000000002,1150.31,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9639.0,toyota,corolla
169,2,gas,std,two,hatchback,rwd,front,2.4993600000000002,4.47548,1.66624,1.3208000000000002,1157.11,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9989.0,toyota,starlet
170,2,gas,std,two,hardtop,rwd,front,2.4993600000000002,4.47548,1.66624,1.3208000000000002,1215.17,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11199.0,toyota,tercel
171,2,gas,std,two,hatchback,rwd,front,2.4993600000000002,4.47548,1.66624,1.3208000000000002,1231.05,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11549.0,toyota,corolla
172,2,gas,std,two,convertible,rwd,front,2.4993600000000002,4.47548,1.66624,1.3462,1349.44,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,24,30,17669.0,toyota,cressida
173,-1,gas,std,four,sedan,fwd,front,2.60096,4.46024,1.6891,1.39446,1055.06,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,29,34,8948.0,toyota,corolla
174,-1,diesel,turbo,four,sedan,fwd,front,2.60096,4.46024,1.6891,1.39446,1124.91,ohc,4,110,idi,3.27,3.35,22.5,73,4500,30,33,10698.0,toyota,celica gt
175,-1,gas,std,four,hatchback,fwd,front,2.60096,4.46024,1.6891,1.3690600000000002,1094.97,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,27,32,9988.0,toyota,corona
176,-1,gas,std,four,sedan,fwd,front,2.60096,4.46024,1.6891,1.39446,1094.97,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,27,32,10898.0,toyota,corolla
177,-1,gas,std,four,hatchback,fwd,front,2.60096,4.46024,1.6891,1.3690600000000002,1114.93,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,27,32,11248.0,toyota,mark ii
178,3,gas,std,two,hatchback,rwd,front,2.6136600000000003,4.660900000000001,1.7195799999999999,1.3208000000000002,1349.89,dohc,6,171,mpfi,3.27,3.35,9.3,161,5200,20,24,16558.0,toyota,corolla liftback
179,3,gas,std,two,hatchback,rwd,front,2.6136600000000003,4.660900000000001,1.7195799999999999,1.3208000000000002,1368.03,dohc,6,171,mpfi,3.27,3.35,9.3,161,5200,19,24,15998.0,toyota,corona
180,-1,gas,std,four,sedan,rwd,front,2.6543,4.77012,1.6891,1.3741400000000001,1420.2,dohc,6,171,mpfi,3.27,3.35,9.2,156,5200,20,24,15690.0,toyota,starlet
181,-1,gas,std,four,wagon,rwd,front,2.6543,4.77012,1.6891,1.3741400000000001,1429.27,dohc,6,161,mpfi,3.27,3.35,9.2,156,5200,19,24,15750.0,toyota,tercel
182,2,diesel,std,two,sedan,fwd,front,2.47142,4.36118,1.6637,1.4147800000000001,1025.57,ohc,4,97,idi,3.01,3.4,23.0,52,4800,37,46,7775.0,volkswagen,rabbit
183,2,gas,std,two,sedan,fwd,front,2.47142,4.36118,1.6637,1.4147800000000001,1001.99,ohc,4,109,mpfi,3.19,3.4,9.0,85,5250,27,34,7975.0,volkswagen,1131 deluxe sedan
184,2,diesel,std,four,sedan,fwd,front,2.47142,4.36118,1.6637,1.4147800000000001,1026.93,ohc,4,97,idi,3.01,3.4,23.0,52,4800,37,46,7995.0,volkswagen,model 111
185,2,gas,std,four,sedan,fwd,front,2.47142,4.36118,1.6637,1.4147800000000001,1003.35,ohc,4,109,mpfi,3.19,3.4,9.0,85,5250,27,34,8195.0,volkswagen,type 3
186,2,gas,std,four,sedan,fwd,front,2.47142,4.36118,1.6637,1.4147800000000001,1031.92,ohc,4,109,mpfi,3.19,3.4,9.0,85,5250,27,34,8495.0,volkswagen,411 (sw)
187,2,diesel,turbo,four,sedan,fwd,front,2.47142,4.36118,1.6637,1.4147800000000001,1051.88,ohc,4,97,idi,3.01,3.4,23.0,68,4500,37,42,9495.0,volkswagen,super beetle
188,2,gas,std,four,sedan,fwd,front,2.47142,4.36118,1.6637,1.4147800000000001,1043.26,ohc,4,109,mpfi,3.19,3.4,10.0,100,5500,26,32,9995.0,volkswagen,dasher
189,3,gas,std,two,convertible,fwd,front,2.4003,4.04622,1.6306800000000001,1.4122400000000002,1022.4,ohc,4,109,mpfi,3.19,3.4,8.5,90,5500,24,29,11595.0,volkswagen,dasher
190,3,gas,std,two,hatchback,fwd,front,2.4003,4.20878,1.6256,1.30556,1007.43,ohc,4,109,mpfi,3.19,3.4,8.5,90,5500,24,29,9980.0,volkswagen,rabbit
191,0,gas,std,four,sedan,fwd,front,2.55016,4.57708,1.6992600000000002,1.39954,1207.01,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500,19,24,13295.0,volkswagen,rabbit
192,0,diesel,turbo,four,sedan,fwd,front,2.55016,4.57708,1.6992600000000002,1.39954,1169.81,ohc,4,97,idi,3.01,3.4,23.0,68,4500,33,38,13845.0,volkswagen,rabbit custom
193,0,gas,std,four,wagon,fwd,front,2.55016,4.65074,1.6992600000000002,1.39954,1162.56,ohc,4,109,mpfi,3.19,3.4,9.0,88,5500,25,31,12290.0,volkswagen,dasher
194,-2,gas,std,four,sedan,rwd,front,2.6492199999999997,4.79552,1.7068800000000002,1.42748,1320.86,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,23,28,12940.0,volvo,145e (sw)
195,-1,gas,std,four,wagon,rwd,front,2.6492199999999997,4.79552,1.7068800000000002,1.4605000000000001,1376.2,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,23,28,13415.0,volvo,144ea
196,-2,gas,std,four,sedan,rwd,front,2.6492199999999997,4.79552,1.7068800000000002,1.42748,1331.29,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,24,28,15985.0,volvo,244dl
197,-1,gas,std,four,wagon,rwd,front,2.6492199999999997,4.79552,1.7068800000000002,1.4605000000000001,1379.83,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,24,28,16515.0,volvo,245
198,-2,gas,turbo,four,sedan,rwd,front,2.6492199999999997,4.79552,1.7068800000000002,1.42748,1381.19,ohc,4,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18420.0,volvo,264gl
199,-1,gas,turbo,four,wagon,rwd,front,2.6492199999999997,4.79552,1.7068800000000002,1.4605000000000001,1431.99,ohc,4,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18950.0,volvo,diesel
200,-1,gas,std,four,sedan,rwd,front,2.77114,4.79552,1.7500600000000004,1.4097,1339.0,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,23,28,16845.0,volvo,145e (sw)
201,-1,gas,turbo,four,sedan,rwd,front,2.77114,4.79552,1.7475199999999997,1.4097,1383.0,ohc,4,141,mpfi,3.78,3.15,8.7,160,5300,19,25,19045.0,volvo,144ea
202,-1,gas,std,four,sedan,rwd,front,2.77114,4.79552,1.7500600000000004,1.4097,1366.22,ohcv,6,173,mpfi,3.58,2.87,8.8,134,5500,18,23,21485.0,volvo,244dl
203,-1,diesel,turbo,four,sedan,rwd,front,2.77114,4.79552,1.7500600000000004,1.4097,1459.21,ohc,6,145,idi,3.01,3.4,23.0,106,4800,26,27,22470.0,volvo,246
204,-1,gas,turbo,four,sedan,rwd,front,2.77114,4.79552,1.7500600000000004,1.4097,1388.9,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,19,25,22625.0,volvo,264gl
